zcta,ZIPName,ZCTA_pop,afact
ZIP census tabulation area,ZIP Code name,Total population (2020 Census),zcta-to-zcta allocation factor
44840,"Jeromesville, OH",3137,1
44841,"Kansas, OH",821,1
44842,"Loudonville, OH",5643,1
44843,"Lucas, OH",2469,1
44844,"McCutchenville, OH",718,1
44846,"Milan, OH",3322,1
44847,"Monroeville, OH",3488,1
44849,"Nevada, OH",2162,1
44850,"New Haven, OH",145,1
44851,"New London, OH",5303,1
44853,"New Riegel, OH",1447,1
44854,"New Washington, OH",1673,1
44855,"North Fairfield, OH",1289,1
44856,"North Robinson, OH",95,1
44857,"Norwalk, OH",23619,1
44859,"Nova, OH",1784,1
44861,"Old Fort, OH",112,1
44864,"Perrysville, OH",3182,1
44865,"Plymouth, OH",3164,1
44866,"Polk, OH",2372,1
44867,"Republic, OH",2280,1
44870,"Sandusky, OH",40416,1
44874,"Savannah, OH",275,1
44875,"Shelby, OH",13900,1
44878,"Shiloh, OH",3223,1
44880,"Sullivan, OH",2914,1
44881,"Sulphur Springs, OH",117,1
44882,"Sycamore, OH",2617,1
44883,"Tiffin, OH",28690,1
44887,"Tiro, OH",958,1
44889,"Wakeman, OH",6702,1
44890,"Willard, OH",10759,1
44902,"Mansfield, OH",4891,1
44903,"Mansfield, OH",25613,1
44904,"Mansfield, OH",14368,1
44905,"Mansfield, OH",16827,1
44906,"Mansfield, OH",16566,1
44907,"Mansfield, OH",15014,1
45001,"Addyston, OH",927,1
45002,"Miami Heights, OH",15458,1
45003,"College Corner, OH",818,1
45005,"Franklin, OH",31577,1
45011,"Hamilton, OH",73596,1
45013,"Hamilton, OH",53911,1
45014,"Fairfield, OH",46169,1
45015,"Hamilton, OH",12103,1
45030,"Harrison, OH",21234,1
45032,"Harveysburg, OH",459,1
45033,"Hooven, OH",323,1
45034,"Kings Mills, OH",1166,1
45036,"Lebanon, OH",41060,1
45039,"Maineville, OH",27529,1
45040,"Mason, OH",57153,1
45041,"Miamitown, OH",177,1
45042,"Middletown, OH",26972,1
45044,"Middletown, OH",56128,1
45050,"Monroe, OH",12173,1
45051,"Mount Saint Joseph, OH",393,1
45052,"Mack, OH",3830,1
45053,"Okeana, OH",3375,1
45054,"Oregonia, OH",2499,1
45055,"Overpeck, OH (PO Boxes)",76,1
45056,"Oxford, OH",28892,1
45062,"Seven Mile, OH",775,1
45064,"Somerville, OH",3112,1
45065,"South Lebanon, OH",6725,1
45066,"Springboro, OH",26399,1
45067,"Trenton, OH",15004,1
45068,"Waynesville, OH",11911,1
45069,"West Chester, OH",53694,1
45070,"West Elkton, OH",151,1
45101,"Aberdeen, OH",2125,1
45102,"Amelia, OH",24954,1
45103,"Batavia, OH",35237,1
45105,"Bentonville, OH (PO Boxes)",15,1
45106,"Bethel, OH",11855,1
45107,"Blanchester, OH",9806,1
45111,"Camp Dennison, OH",384,1
45112,"Chilo, OH",69,1
45113,"Clarksville, OH",3974,1
45115,"Decatur, OH (PO Boxes)",217,1
45118,"Fayetteville, OH",3716,1
45119,"Feesburg, OH (PO Boxes)",19,1
45120,"Felicity, OH",3138,1
45121,"Georgetown, OH",8927,1
45122,"Goshen, OH",10757,1
45123,"Greenfield, OH",8776,1
45130,"Hamersville, OH",3585,1
45131,"Higginsport, OH",213,1
45132,"Highland, OH",230,1
45133,"Hillsboro, OH",23646,1
45135,"Leesburg, OH",4765,1
45140,"Loveland, OH",56386,1
45142,"Lynchburg, OH",4384,1
45144,"Manchester, OH",3912,1
45146,"Martinsville, OH",1400,1
45147,"Miamiville, OH",106,1
45148,"Midland, OH",1539,1
45150,"Milford, OH",33735,1
45152,"Morrow, OH",13617,1
45153,"Moscow, OH",1826,1
45154,"Mount Orab, OH",9439,1
45155,"Mowrystown, OH",385,1
45156,"Neville, OH",63,1
45157,"New Richmond, OH",9705,1
45158,"Newtonsville, OH",774,1
45159,"New Vienna, OH",3524,1
45160,"Owensville, OH",627,1
45162,"Pleasant Plain, OH",2730,1
45164,"Port William, OH",233,1
45166,"Reesville, OH (PO Boxes)",83,1
45167,"Ripley, OH",3441,1
45168,"Russellville, OH",1345,1
45169,"Sabina, OH",4686,1
45171,"Sardinia, OH",6174,1
45172,"Sinking Spring, OH",116,1
45174,"Terrace Park, OH",2359,1
45176,"Williamsburg, OH",9100,1
45177,"Wilmington, OH",22349,1
45202,"Cincinnati, OH",16883,1
45203,"Cincinnati, OH",2365,1
45204,"Cincinnati, OH",5818,1
45205,"Cincinnati, OH",19517,1
45206,"Cincinnati, OH",10670,1
45207,"Cincinnati, OH",7484,1
45208,"Cincinnati, OH",18969,1
45209,"Cincinnati, OH",10708,1
45211,"Cincinnati, OH",37868,1
45212,"Norwood, OH",21885,1
45213,"Cincinnati, OH",12052,1
45214,"Cincinnati, OH",8901,1
45215,"Reading, OH",30993,1
45216,"Cincinnati, OH",9667,1
45217,"St. Bernard, OH",6177,1
45218,"Greenhills, OH",3957,1
45219,"Cincinnati, OH",20644,1
45220,"Cincinnati, OH",15466,1
45223,"Cincinnati, OH",13174,1
45224,"Cincinnati, OH",20214,1
45225,"Cincinnati, OH",8006,1
45226,"Cincinnati, OH",5687,1
45227,"Cincinnati, OH",18427,1
45229,"Cincinnati, OH",12540,1
45230,"Cincinnati, OH",27718,1
45231,"Cincinnati, OH",41934,1
45232,"Cincinnati, OH",7109,1
45233,"Cincinnati, OH",15596,1
45236,"Deer Park, OH",24223,1
45237,"Cincinnati, OH",21029,1
45238,"Cincinnati, OH",46864,1
45239,"White Oak, OH",28499,1
45240,"Forest Park, OH",28820,1
45241,"Sharonville, OH",24380,1
45242,"Blue Ash, OH",23214,1
45243,"Madeira, OH",15894,1
45244,"Dry Run, OH",28936,1
45245,"Cincinnati, OH",20249,1
45246,"Springdale, OH",15249,1
45247,"White Oak, OH",23293,1
45248,"Bridgetown, OH",25181,1
45249,"Cincinnati, OH",14005,1
45251,"Northbrook, OH",22073,1
45252,"Dry Ridge, OH",4548,1
45255,"Forestville, OH",22069,1
45301,"Beavercreek, OH",135,1
45302,"Anna, OH",4313,1
45303,"Ansonia, OH",2215,1
45304,"Arcanum, OH",7532,1
45305,"Bellbrook, OH",11470,1
45306,"Botkins, OH",2192,1
45307,"Bowersville, OH",269,1
45308,"Bradford, OH",4488,1
45309,"Brookville, OH",12050,1
45310,"Burkettsville, OH",272,1
45311,"Camden, OH",5723,1
45312,"Casstown, OH",1416,1
45314,"Cedarville, OH",6261,1
45315,"Clayton, OH",4818,1
45316,"Clifton, OH",115,1
45317,"Conover, OH",1018,1
45318,"Covington, OH",5438,1
45319,"Donnelsville, OH",287,1
45320,"Eaton, OH",15530,1
45321,"Eldorado, OH",859,1
45322,"Englewood, OH",21185,1
45323,"Enon, OH",5123,1
45324,"Fairborn, OH",40449,1
45325,"Farmersville, OH",2558,1
45326,"Fletcher, OH",1170,1
45327,"Germantown, OH",9388,1
45328,"Gettysburg, OH",471,1
45330,"Gratis, OH",830,1
45331,"Greenville, OH",22213,1
45332,"Hollansburg, OH",634,1
45333,"Houston, OH",1389,1
45334,"Jackson Center, OH",2041,1
45335,"Jamestown, OH",7062,1
45336,"Kettlersville, OH",100,1
45337,"Laura, OH",1519,1
45338,"Lewisburg, OH",4950,1
45339,"Ludlow Falls, OH",1169,1
45340,"Maplewood, OH",850,1
45341,"Medway, OH",3741,1
45342,"Miamisburg, OH",37508,1
45344,"New Carlisle, OH",17042,1
45345,"New Lebanon, OH",5951,1
45346,"New Madison, OH",2085,1
45347,"New Paris, OH",4264,1
45348,"New Weston, OH",968,1
45349,"North Hampton, OH",313,1
45350,"North Star, OH",78,1
45351,"Osgood, OH",284,1
45352,"Palestine, OH",183,1
45353,"Pemberton, OH (PO Boxes)",150,1
45354,"Phillipsburg, OH",572,1
45356,"Piqua, OH",25106,1
45358,"Pitsburg, OH",361,1
45359,"Pleasant Hill, OH",1996,1
45360,"Port Jefferson, OH",300,1
45361,"Potsdam, OH",225,1
45362,"Rossburg, OH",1086,1
45363,"Russia, OH",1853,1
45365,"Sidney, OH",29277,1
45368,"South Charleston, OH",4817,1
45369,"South Vienna, OH",3576,1
45370,"Spring Valley, OH",2379,1
45371,"Tipp City, OH",23205,1
45372,"Tremont City, OH",352,1
45373,"Troy, OH",36863,1
45377,"Vandalia, OH",15070,1
45378,"Verona, OH",402,1
45380,"Versailles, OH",5573,1
45381,"West Alexandria, OH",5424,1
45382,"West Manchester, OH",1179,1
45383,"West Milton, OH",6885,1
45384,"Wilberforce, OH",2258,1
45385,"Xenia, OH",39446,1
45387,"Yellow Springs, OH",5326,1
45388,"Yorkshire, OH",878,1
45389,"Christiansburg, OH",503,1
45390,"Union City, OH",3269,1
45402,"Dayton, OH",10735,1
45403,"Dayton, OH",15130,1
45404,"Dayton, OH",10730,1
45405,"Dayton, OH",18124,1
45406,"Dayton, OH",20622,1
45409,"Dayton, OH",12392,1
45410,"Dayton, OH",15758,1
45414,"Dayton, OH",20693,1
45415,"Clayton, OH",12811,1
45416,"Trotwood, OH",5612,1
45417,"Dayton, OH",28079,1
45419,"Oakwood, OH",16236,1
45420,"Dayton, OH",25045,1
45423,"Dayton, OH",4,1
45424,"Huber Heights, OH",50920,1
45426,"Trotwood, OH",14391,1
45428,"Dayton, OH",303,1
45429,"Kettering, OH",26514,1
45430,"Beavercreek, OH",7637,1
45431,"Beavercreek, OH",26660,1
45432,"Beavercreek, OH",15105,1
45433,"Wright-Patterson AFB, OH",1567,1
45434,"Beavercreek, OH",12628,1
45435,"Dayton, OH",124,1
45439,"Moraine, OH",11726,1
45440,"Kettering, OH",22676,1
45449,"West Carrollton, OH",18976,1
45458,"Dayton, OH",36474,1
45459,"Dayton, OH",28344,1
45469,"Dayton, OH",219,1
45502,"Springfield, OH",16767,1
45503,"Springfield, OH",32870,1
45504,"Springfield, OH",17343,1
45505,"Springfield, OH",19708,1
45506,"Springfield, OH",13330,1
45601,"Chillicothe, OH",56849,1
45612,"Bainbridge, OH",5059,1
45613,"Beaver, OH",3542,1
45614,"Bidwell, OH",4800,1
45616,"Blue Creek, OH",1187,1
45617,"Bourneville, OH (PO Boxes)",76,1
45618,"Cherry Fork, OH",29,1
45619,"Chesapeake, OH",7348,1
45620,"Cheshire, OH",875,1
45621,"Coalton, OH",403,1
45622,"Creola, OH",485,1
45623,"Crown City, OH",3235,1
45624,"Cynthiana, OH",22,1
45628,"Frankfort, OH",5429,1
45629,"Franklin Furnace, OH",3220,1
45630,"Friendship, OH",222,1
45631,"Gallipolis, OH",14200,1
45634,"Hamden, OH",1893,1
45636,"Franklin Furnace, OH",150,1
45638,"Ironton, OH",20114,1
45640,"Jackson, OH",15896,1
45642,"Jasper, OH (PO Boxes)",35,1
45644,"Kingston, OH",4316,1
45645,"Kitts Hill, OH",2750,1
45646,"Latham, OH",363,1
45647,"Londonderry, OH",2410,1
45648,"Lucasville, OH",11211,1
45650,"Lynx, OH (PO Boxes)",348,1
45651,"Mc Arthur, OH",5691,1
45652,"Mc Dermott, OH",3131,1
45653,"Minford, OH",3907,1
45654,"New Plymouth, OH",833,1
45656,"Oak Hill, OH",6532,1
45657,"Otway, OH",2504,1
45658,"Patriot, OH",2538,1
45659,"Pedro, OH",2623,1
45660,"Peebles, OH",8011,1
45661,"Piketon, OH",7014,1
45662,"Portsmouth, OH",27718,1
45663,"West Portsmouth, OH",6343,1
45669,"Proctorville, OH",10223,1
45671,"Rarden, OH",391,1
45672,"Ray, OH",1679,1
45673,"Richmond Dale, OH",398,1
45674,"Rio Grande, OH",686,1
45677,"Scioto Furnace, OH (PO Boxes)",73,1
45678,"Scottown, OH",1140,1
45679,"Seaman, OH",3097,1
45680,"South Point, OH",12326,1
45681,"South Salem, OH",1589,1
45682,"South Webster, OH",1998,1
45684,"Stout, OH",1838,1
45685,"Thurman, OH",1040,1
45686,"Vinton, OH",3379,1
45688,"Waterloo, OH",403,1
45690,"Waverly, OH",13527,1
45692,"Wellston, OH",8460,1
45693,"West Union, OH",8797,1
45694,"Wheelersburg, OH",11783,1
45695,"Wilkesville, OH",587,1
45696,"Willow Wood, OH",1253,1
45697,"Winchester, OH",4828,1
45698,"Zaleski, OH",262,1
45699,"So Oh Correctional Facility, Lucasville, OH",1236,1
45701,"Athens, OH",33705,1
45710,"Albany, OH",5547,1
45711,"Amesville, OH",1065,1
45714,"Belpre, OH",10149,1
45715,"Beverly, OH",2412,1
45716,"Buchtel, OH",490,1
45719,"Chauncey, OH",964,1
45720,"Chester, OH (PO Boxes)",12,1
45721,"Coal Run, OH",41,1
45723,"Coolville, OH",3552,1
45724,"Cutler, OH",1785,1
45727,"Dexter City, OH",478,1
45729,"Fleming, OH",1460,1
45732,"Glouster, OH",4524,1
45734,"Graysville, OH",409,1
45735,"Guysville, OH",1619,1
45739,"Hockingport, OH (PO Boxes)",160,1
45740,"Jacksonville, OH",406,1
45741,"Langsville, OH",809,1
45742,"Little Hocking, OH",3018,1
45743,"Long Bottom, OH",1383,1
45744,"Lowell, OH",2656,1
45745,"Lower Salem, OH",1104,1
45746,"Macksburg, OH",348,1
45750,"Marietta, OH",26327,1
45760,"Middleport, OH",3309,1
45761,"Millfield, OH",1558,1
45764,"Nelsonville, OH",7859,1
45766,"New Marshfield, OH",1313,1
45767,"New Matamoras, OH",2314,1
45768,"Newport, OH",1599,1
45769,"Pomeroy, OH",5952,1
45770,"Portland, OH",567,1
45771,"Racine, OH",3408,1
45772,"Reedsville, OH",1697,1
45773,"Reno, OH",305,1
45775,"Rutland, OH",1361,1
45776,"Shade, OH",730,1
45778,"Stewart, OH",834,1
45779,"Syracuse, OH",780,1
45780,"The Plains, OH",3328,1
45782,"Trimble, OH",313,1
45783,"Tuppers Plains, OH (PO Boxes)",181,1
45784,"Vincent, OH",3313,1
45786,"Waterford, OH",3160,1
45788,"Whipple, OH",961,1
45789,"Wingett Run, OH",188,1
45801,"Lima, OH",22819,1
45804,"Lima, OH",14573,1
45805,"Lima, OH",22740,1
45806,"Lima, OH",11238,1
45807,"Lima, OH",11856,1
45808,"Beaverdam, OH",282,1
45809,"Gomer, OH",173,1
45810,"Ada, OH",7840,1
45812,"Alger, OH",1835,1
45813,"Antwerp, OH",3579,1
45814,"Arlington, OH",2646,1
45815,"Belmore, OH",57,1
45816,"Benton Ridge, OH",260,1
45817,"Bluffton, OH",6420,1
45819,"Buckland, OH",233,1
45820,"Cairo, OH",517,1
45821,"Cecil, OH",1252,1
45822,"Celina, OH",19945,1
45826,"Chickasaw, OH",358,1
45827,"Cloverdale, OH",2223,1
45828,"Coldwater, OH",6495,1
45830,"Columbus Grove, OH",5797,1
45831,"Continental, OH",3023,1
45832,"Convoy, OH",2854,1
45833,"Delphos, OH",10682,1
45835,"Dola, OH",487,1
45836,"Dunkirk, OH",1332,1
45838,"Elgin, OH",39,1
45840,"Findlay, OH",54901,1
45841,"Jenera, OH",936,1
45843,"Forest, OH",3768,1
45844,"Fort Jennings, OH",3251,1
45845,"Fort Loramie, OH",3270,1
45846,"Fort Recovery, OH",4461,1
45848,"Glandorf, OH (PO Boxes)",61,1
45849,"Grover Hill, OH",1154,1
45850,"Harrod, OH",3617,1
45851,"Haviland, OH",676,1
45853,"Kalida, OH",1451,1
45854,"Lafayette, OH",461,1
45855,"Latty, OH",165,1
45856,"Leipsic, OH",5094,1
45858,"McComb, OH",3038,1
45859,"McGuffey, OH",461,1
45860,"Maria Stein, OH",2444,1
45861,"Melrose, OH",223,1
45862,"Mendon, OH",1408,1
45863,"Middle Point, OH",1135,1
45864,"Miller City, OH",160,1
45865,"Minster, OH",5251,1
45866,"Montezuma, OH",152,1
45867,"Mount Blanchard, OH",1138,1
45868,"Mount Cory, OH",705,1
45869,"New Bremen, OH",4567,1
45870,"New Hampshire, OH",116,1
45871,"New Knoxville, OH",2019,1
45872,"North Baltimore, OH",4120,1
45873,"Oakwood, OH",2235,1
45874,"Ohio City, OH",2079,1
45875,"Ottawa, OH",11273,1
45876,"Ottoville, OH",958,1
45877,"Pandora, OH",2239,1
45879,"Paulding, OH",5963,1
45880,"Payne, OH",2390,1
45881,"Rawson, OH",1485,1
45882,"Rockford, OH",3005,1
45883,"St. Henry, OH",4026,1
45884,"St Johns, OH",147,1
45885,"St. Marys, OH",12863,1
45886,"Scott, OH",459,1
45887,"Spencerville, OH",4688,1
45888,"Uniopolis, OH",188,1
45889,"Van Buren, OH",1481,1
45890,"Vanlue, OH",653,1
45891,"Van Wert, OH",15633,1
45893,"Vaughnsville, OH (PO Boxes)",262,1
45894,"Venedocia, OH",649,1
45895,"Wapakoneta, OH",17974,1
45896,"Waynesfield, OH",1990,1
45897,"Williamstown, OH (PO Boxes)",107,1
45898,"Willshire, OH",1251,1
45899,"Wren, OH",165,1
