zcta,ZIPName,ZCTA_pop,afact
ZIP census tabulation area,ZIP Code name,Total population (2020 Census),zcta-to-zcta allocation factor
43358,"West Mansfield, OH",2587,1
43359,"Wharton, OH",720,1
43360,"Zanesfield, OH",1590,1
43402,"Bowling Green, OH",31459,1
43403,"Bowling Green, OH",5422,1
43406,"Bradner, OH",1740,1
43407,"Burgoon, OH",631,1
43408,"Clay Center, OH",251,1
43410,"Clyde, OH",10219,1
43412,"Curtice, OH",4033,1
43413,"Cygnet, OH",1430,1
43414,"Dunbridge, OH (PO Boxes)",73,1
43416,"Elmore, OH",2769,1
43420,"Fremont, OH",29332,1
43430,"Genoa, OH",4631,1
43431,"Gibsonburg, OH",4500,1
43432,"Graytown, OH",1354,1
43433,"Gypsum, OH (PO Boxes)",101,1
43434,"Harbor View, OH",89,1
43435,"Helena, OH",1484,1
43436,"Isle Saint George, OH (PO Boxes)",10,1
43437,"Jerry City, OH",447,1
43438,"Kelleys Island, OH",256,1
43439,"Lacarne, OH (PO Boxes)",62,1
43440,"Lakeside Marblehead, OH",4665,1
43442,"Lindsey, OH",1015,1
43443,"Luckey, OH",1856,1
43445,"Martin, OH",1188,1
43446,"Middle Bass, OH",118,1
43447,"Millbury, OH",3343,1
43449,"Oak Harbor, OH",8057,1
43450,"Pemberville, OH",3454,1
43451,"Portage, OH",1126,1
43452,"Port Clinton, OH",13443,1
43456,"Put In Bay, OH (PO Boxes)",678,1
43457,"Risingsun, OH",1443,1
43458,"Rocky Ridge, OH",312,1
43460,"Rossford, OH",6230,1
43462,"Rudolph, OH",1096,1
43463,"Stony Ridge, OH (PO Boxes)",253,1
43464,"Vickery, OH",1336,1
43465,"Walbridge, OH",5599,1
43466,"Wayne, OH",2141,1
43467,"West Millgrove, OH",131,1
43468,"Williston, OH",565,1
43469,"Woodville, OH",3014,1
43501,"Alvordton, OH",844,1
43502,"Archbold, OH",7064,1
43504,"Berkey, OH",1110,1
43505,"Blakeslee, OH",98,1
43506,"Bryan, OH",15010,1
43510,"Colton, OH (PO Boxes)",157,1
43511,"Custar, OH",856,1
43512,"Defiance, OH",28208,1
43515,"Delta, OH",8174,1
43516,"Deshler, OH",2776,1
43517,"Edgerton, OH",3494,1
43518,"Edon, OH",2572,1
43519,"Evansport, OH",143,1
43520,"Farmer, OH (PO Boxes)",77,1
43521,"Fayette, OH",2693,1
43522,"Grand Rapids, OH",3249,1
43523,"Grelton, OH",133,1
43524,"Hamler, OH",1239,1
43525,"Haskins, OH",1191,1
43526,"Hicksville, OH",5995,1
43527,"Holgate, OH",2152,1
43528,"Holland, OH",16746,1
43529,"Hoytville, OH",220,1
43530,"Jewell, OH (PO Boxes)",15,1
43531,"Kunkle, OH",156,1
43532,"Liberty Center, OH",3775,1
43533,"Lyons, OH",1509,1
43534,"Mc Clure, OH",1662,1
43535,"Malinta, OH",721,1
43536,"Mark Center, OH",383,1
